been 4:3;8:211
too 7:1;8:128;9:24,30
get 3:84;4:98;8:68;9:86
writing 8:220
have 3:11;6:64;8:160,200,210;10:27
camera 6:24
everything 10:8
product 8:159,171
bought 4:13;5:5;8:88
more 8:34
could 10:10
great 3:3;6:17;10:4
off 4:101;8:221
nice 10:25
machine 4:82
complete 8:148
first 3:6;8:18,140
return 9:64
use 4:4,29;5:17;7:13;8:92;10:15
replace 3:76
several 5:36
dice 8:181
screen 3:16,41,64;6:15,62;8:117
feel 6:32
thrill 6:55
emulate 4:35
that 3:74;6:67;8:74;9:21,26,44,81
rear 6:23
son 5:4
his 5:8
etc 5:38
function 3:55
than 8:35
defective 8:192
only 6:50
should 7:22
few 3:7;4:9
quite 5:19;6:83
claim 8:94
from 4:63;6:2
widespread 8:49
net 4:5
stock 8:12
all 3:69
waste 8:127
new 8:37
like 8:137
touch 3:15,40,63;6:75;8:116
ugly 9:94
feeling 6:66
less 8:225
my 4:45,64,74,99,102;5:1;6:37,68,86;8:141
revision 8:197
200 8:30
unit 8:193
unresponsive 8:121
were 3:43
speaker 6:20
ebay 8:100
try 9:11,33
present 9:73
send 3:27;8:63
repair 3:32;8:70
ease 4:58
became 8:118
shame 8:133
no 9:82
nexus 6:4,39
week 9:17
their 8:158
delete 7:6
point 9:52
kinemaster 4:51
can 6:9;9:61
times 5:37
working 8:104
brick 8:1
experienced 8:51
amount 8:205
deserve 9:84
or 4:77;7:14
cost 8:201
will 8:44
confidence 8:151
automatic 8:79
also 3:70
control 7:3
stero 6:19
instead 5:11;8:217;9:62
really 6:27;8:136
expensive 8:226
super 9:7
100 8:11
pc 4:76
acknowledge 8:57,188
responsive 5:27;6:35,59
customer 8:222
